run	ls	alcatracks	mode	mode_flag	mode_text
276577	178	3469	DECO	GOOD	from_both_DB_and_S/N
276919	40	783	DECO	GOOD	from_both_DB_and_S/N
275554	84	4836	DECO	GOOD	from_both_DB_and_S/N
279118	99	5394	DECO	GOOD	from_both_DB_and_S/N
279120	105	5570	DECO	GOOD	from_both_DB_and_S/N
276920	6	79	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
279122	149	8027	DECO	GOOD	from_both_DB_and_S/N
279124	32	1670	DECO	GOOD	from_both_DB_and_S/N
279125	64	3485	DECO	GOOD	from_both_DB_and_S/N
279126	91	4874	DECO	GOOD	from_both_DB_and_S/N
276921	30	561	DECO	GOOD	from_both_DB_and_S/N
282077	229	11665	DECO	GOOD	from_both_DB_and_S/N
274191	574	35063	DECO	GOOD	from_both_DB_and_S/N
266682	4	73	DECO	GOOD	from_both_DB_and_S/N
279134	132	6955	DECO	GOOD	from_both_DB_and_S/N
279136	169	9185	DECO	GOOD	from_both_DB_and_S/N
274192	520	31183	DECO	GOOD	from_both_DB_and_S/N
277090	96	2544	DECO	GOOD	from_both_DB_and_S/N
279140	392	20378	DECO	GOOD	from_both_DB_and_S/N
281020	141	7985	DECO	GOOD	from_both_DB_and_S/N
281022	574	32495	DECO	GOOD	from_both_DB_and_S/N
278292	132	6381	DECO	GOOD	from_both_DB_and_S/N
268737	42	282	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
277129	62	17	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
268738	27	737	DECO	GOOD	from_both_DB_and_S/N
279661	20	6	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
276896	42	282	DECO	GOOD	from_both_DB_and_S/N
278297	1139	27391	DECO	GOOD	from_both_DB_and_S/N
276250	20	292	DECO	GOOD	from_both_DB_and_S/N
278981	51	2589	DECO	GOOD	from_both_DB_and_S/N
278299	4	165	DECO	GOOD	from_both_DB_and_S/N
278982	424	22200	DECO	GOOD	from_both_DB_and_S/N
272156	40	2423	DECO	GOOD	from_both_DB_and_S/N
277164	55	257	DECO	GOOD	from_both_DB_and_S/N
282056	110	5562	DECO	GOOD	from_both_DB_and_S/N
283317	7	229	DECO	GOOD	from_both_DB_and_S/N
283319	32	1728	DECO	GOOD	from_both_DB_and_S/N
282740	49	2548	DECO	GOOD	from_both_DB_and_S/N
276255	161	3193	DECO	GOOD	from_both_DB_and_S/N
277962	3	1	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
277187	82	4335	DECO	GOOD	from_both_DB_and_S/N
277190	136	1513	DECO	GOOD	from_both_DB_and_S/N
278988	103	3493	DECO	GOOD	from_both_DB_and_S/N
283345	3	1	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
283346	5	203	DECO	GOOD	from_both_DB_and_S/N
277204	15	710	DECO	GOOD	from_both_DB_and_S/N
277207	77	3825	DECO	GOOD	from_both_DB_and_S/N
273118	12	583	DECO	GOOD	from_both_DB_and_S/N
281311	18	934	DECO	GOOD	from_both_DB_and_S/N
273120	227	13239	DECO	GOOD	from_both_DB_and_S/N
281040	23	1185	DECO	GOOD	from_both_DB_and_S/N
279675	46	2554	DECO	GOOD	from_both_DB_and_S/N
282065	21	990	DECO	GOOD	from_both_DB_and_S/N
281042	613	34903	DECO	GOOD	from_both_DB_and_S/N
282067	109	5504	DECO	GOOD	from_both_DB_and_S/N
283392	11	546	DECO	GOOD	from_both_DB_and_S/N
281728	55	2802	DECO	GOOD	from_both_DB_and_S/N
283394	10	552	DECO	GOOD	from_both_DB_and_S/N
283396	10	64	DECO	GOOD	from_both_DB_and_S/N
281046	383	22254	DECO	GOOD	from_both_DB_and_S/N
278316	20	999	DECO	GOOD	from_both_DB_and_S/N
281355	102	499	DECO	GOOD	from_both_DB_and_S/N
281368	73	392	DECO	GOOD	from_both_DB_and_S/N
276014	15	63	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
281733	54	2537	DECO	GOOD	from_both_DB_and_S/N
280029	3	70	DECO	GOOD	from_both_DB_and_S/N
278197	13	657	DECO	GOOD	from_both_DB_and_S/N
